Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Hungary,HUN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.24977,97.08149,96.79927,98.06066,104.7153,104.1899,103.0306,102.714,103.49,..
Iceland,ISL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,106.51382,107.3143,106.6503,110.0091,118.2448,118.6157,119.0789,117.629,117.5167,..
"Iran, Islamic Rep.",IRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,82.16121,80.58796,82.99125,84.98212,83.8314,85.27626,85.86942,86.86632,86.31149,..
Iraq,IRQ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Ireland,IRL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,114.39266,118.0969,115.8337,117.7522,..,116.7391,116.9899,117.0287,125.3071,..
Isle of Man,IMN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,103.17521,103.2308,102.8582,102.2228,102.6932,103.0234,103.6598,105.2331,105.0846,..
Jamaica,JAM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,94.52804,91.7717,91.62792,..,82.48216,82.19751,80.90864,83.77692,81.42778,82.28867
Jordan,JOR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,80.08052,77.60734,74.1864,71.05885,69.13018,..,..,62.63221,63.11653
Kazakhstan,KAZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,98.47993,99.90897,102.2145,102.8738,106.5912,110.3013,113.25,114.1974,114.2437
Kenya,KEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,56.76037,..,..,..,..,..,..,..,..,..
Kiribati,KIR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People’s Rep.",PRK,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,92.77569,..,..,..
Kosovo,XKX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,97.71626,97.87177,97.05261,96.44032,95.06651,93.89049,97.82772,..,..,..
Kyrgyz Republic,KGZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,86.83522,87.57795,87.50063,88.37131,89.0277,90.85203,91.06977,93.83472,93.88858,95.05481
Lao PDR,LAO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,45.43956,46.958,45.77709,49.0311,53.20625,58.91762,63.42557,66.30924,67.5095,67.36178
Latvia,LVA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.4204,102.8222,105.5658,106.3448,114.7768,113.7069,112.3567,111.2968,110.7233,..
Lebanon,LBN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,50.92904,56.26115,59.76092,62.17588,60.41059,60.21678,60.67609,58.51934,62.01393,..
Liberia,LBR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,46.35526,..,..,38.57373,37.9035,..,..,..
Libya,LBY,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,105.68449,108.8793,111.4566,110.3739,..,115.5578,116.1234,116.0284,..,..
Lithuania,LTU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,104.75588,105.0683,106.0082,106.1735,108.9944,108.1848,107.6729,107.4298,108.4018,..
